 --------------------------------------- ------------------------------------------------------------ ---------- ---------------- 
  Package                                 Name                                                         Status     Version         
  Media                                   Imce File Manager (imce)                                     Enabled    8.x-1.7         
  Lightweight Directory Access Protocol   LDAP (ldap)                                                  Disabled   8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Authentication (ldap_authentication)                    Enabled    8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Authorization Provider (ldap_authorization)             Disabled   8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Help (ldap_help)                                        Enabled    8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Query (ldap_query)                                      Disabled   8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Servers (ldap_servers)                                  Enabled    8.x-3.0-beta5   
  Lightweight Directory Access Protocol   LDAP Users (ldap_user)                                       Enabled    8.x-3.0-beta5   
  Mail                                    Mail System (mailsystem)                                     Disabled   8.x-4.1         
  SEO                                     Metatag (metatag)                                            Enabled    8.x-1.8         
  SEO                                     Metatag: App Links (metatag_app_links)                       Disabled   8.x-1.8         
  SEO                                     Metatag: Dublin Core (metatag_dc)                            Disabled   8.x-1.8         
  SEO                                     Metatag: Dublin Core Advanced (metatag_dc_advanced)          Disabled   8.x-1.8         
  SEO                                     Metatag: Facebook (metatag_facebook)                         Disabled   8.x-1.8         
  SEO                                     Metatag: favicons (metatag_favicons)                         Disabled   8.x-1.8         
  SEO                                     Metatag: Google Custom Search Engine (CSE)                   Disabled   8.x-1.8         
                                          (metatag_google_cse)                                                                    
  SEO                                     Metatag: Google Plus (metatag_google_plus)                   Disabled   8.x-1.8         
  SEO                                     Metatag: hreflang (metatag_hreflang)                         Disabled   8.x-1.8         
  SEO                                     Metatag: Mobile & UI Adjustments (metatag_mobile)            Disabled   8.x-1.8         
  SEO                                     Metatag: Open Graph (metatag_open_graph)                     Disabled   8.x-1.8         
  SEO                                     Metatag: Open Graph Products (metatag_open_graph_products)   Disabled   8.x-1.8         
  SEO                                     Metatag Page Manager (metatag_page_manager)                  Disabled   8.x-1.8         
  SEO                                     Metatag: Pinterest (metatag_pinterest)                       Disabled   8.x-1.8         
  SEO                                     Metatag: Twitter Cards (metatag_twitter_cards)               Disabled   8.x-1.8         
  SEO                                     Metatag: Verification (metatag_verification)                 Disabled   8.x-1.8         
  SEO                                     Metatag: Views (metatag_views)                               Disabled   8.x-1.8         
  Other                                   Pathauto (pathauto)                                          Enabled    8.x-1.4         
  Spam control                            reCAPTCHA (recaptcha)                                        Enabled    8.x-2.4         
  Login Redirection                       Redirect After Login (redirect_after_login)                  Enabled    8.x-2.5         
  Security                                Security Review (security_review)                            Enabled                    
  Search                                  Select2 Facets (select2_facets)                              Disabled   8.x-1.1         
  User interface                          Select2 Publish (select2_publish)                            Disabled   8.x-1.1         
  User interface                          Select2 (select2)                                            Disabled   8.x-1.1         
  Other                                   Token (token)                                                Enabled    8.x-1.5         
  Other                                   URL Redirect (url_redirect)                                  Enabled    8.x-2.61        
  Views                                   Views Data Export (views_data_export)                        Enabled    8.x-1.0-beta1   
  Webform                                 Webform Access (webform_access)                              Disabled   8.x-5.2         
  Webform                                 Webform Attachment (webform_attachment)                      Disabled   8.x-5.2         
  Webform                                 Webform Bootstrap (webform_bootstrap)                        Enabled    8.x-5.2         
  Webform Demo                            Webform Demo: Application/Evaluation System                  Disabled   8.x-5.2         
                                          (webform_demo_application_evaluation)                                                   
  Webform Demo                            Webform Demo: Event Registration System                      Enabled    8.x-5.2         
                                          (webform_demo_event_registration)                                                       
  Webform Demo                            Webform Demo: Region Contact System                          Disabled   8.x-5.2         
                                          (webform_demo_region_contact)                                                           
  Webform                                 Webform Devel (webform_devel)                                Disabled   8.x-5.2         
  Webform                                 Webform Editorial (webform_editorial)                        Disabled   8.x-5.2         
  Webform example                         Webform Example Composite (webform_example_composite)        Disabled   8.x-5.2         
  Webform example                         Webform Element Example (webform_example_element)            Disabled   8.x-5.2         
  Webform example                         Webform Handler Example (webform_example_handler)            Disabled   8.x-5.2         
  Webform example                         Webform Remote Post Example (webform_example_remote_post)    Disabled   8.x-5.2         
  Webform example                         Webform Examples (webform_examples)                          Disabled   8.x-5.2         
  Webform example                         Webform Examples Accessibility                               Disabled   8.x-5.2         
                                          (webform_examples_accessibility)                                                        
  Webform                                 Webform Image Select (webform_image_select)                  Disabled   8.x-5.2         
  Webform                                 Webform Node (webform_node)                                  Enabled    8.x-5.2         
  Webform                                 Webform Scheduled Email Handler (webform_scheduled_email)    Enabled    8.x-5.2         
  Webform                                 Webform Shortcuts (webform_shortcuts)                        Enabled    8.x-5.2         
  Webform                                 Webform Submission Export/Import [EXPERIMENTAL]              Disabled   8.x-5.2         
                                          (webform_submission_export_import)                                                      
  Webform                                 Webform Submission Log (webform_submission_log)              Enabled    8.x-5.2         
  Webform                                 Webform Templates (webform_templates)                        Disabled   8.x-5.2         
  Webform                                 Webform UI (webform_ui)                                      Enabled    8.x-5.2         
  Webform                                 Webform (webform)                                            Enabled    8.x-5.2         
  Webform                                 Webform views (webform_views)                                Enabled    8.x-5.0-alpha6  
  Custom                                  EventsReg (eventsreg)                                        Enabled    1               
  Other                                   Embedded Google Documents Viewer (gdoc_field)                Enabled    8.x-1.1         
  Mail                                    Swift Mailer (swiftmailer)                                   Disabled   8.x-2.0-alpha2  
  Webform                                 Webform Mass Email (webform_mass_email)                      Enabled    8.x-1.0-beta5   
  Core                                    Bartik (bartik)                                              Enabled    8.6.14          
  Core                                    Classy (classy)                                              Enabled    8.6.14          
  Core                                    Seven (seven)                                                Enabled    8.6.14          
  Core                                    Stable (stable)                                              Enabled    8.6.14          
  Core                                    Stark (stark)                                                Disabled   8.6.14          
  Bootstrap                               Bootstrap (bootstrap)                                        Enabled    8.x-3.17        
  Bootstrap                               CCT (Bootstrap Sub-theme) (cct)                              Enabled                    
 --------------------------------------- ------------------------------------------------------------ ---------- ---------------- 
